petal length (cm),petal width (cm),petal length,petal width
1.4,0.2,0.06779661016949151,0.04166666666666667
1.4,0.2,0.06779661016949151,0.04166666666666667
1.3,0.2,0.05084745762711865,0.04166666666666667
1.5,0.2,0.0847457627118644,0.04166666666666667
1.4,0.2,0.06779661016949151,0.04166666666666667
1.7,0.4,0.11864406779661013,0.125
1.4,0.3,0.06779661016949151,0.08333333333333333
1.5,0.2,0.0847457627118644,0.04166666666666667
1.4,0.2,0.06779661016949151,0.04166666666666667
1.5,0.1,0.0847457627118644,0.0
1.5,0.2,0.0847457627118644,0.04166666666666667
1.6,0.2,0.1016949152542373,0.04166666666666667
1.4,0.1,0.06779661016949151,0.0
1.1,0.1,0.01694915254237289,0.0
1.2,0.2,0.033898305084745756,0.04166666666666667
1.5,0.4,0.0847457627118644,0.125
1.3,0.4,0.05084745762711865,0.125
1.4,0.3,0.06779661016949151,0.08333333333333333
1.7,0.3,0.11864406779661013,0.08333333333333333
1.5,0.3,0.0847457627118644,0.08333333333333333
1.7,0.2,0.11864406779661013,0.04166666666666667
1.5,0.4,0.0847457627118644,0.125
1.0,0.2,0.0,0.04166666666666667
1.7,0.5,0.11864406779661013,0.16666666666666669
1.9,0.2,0.15254237288135591,0.04166666666666667
1.6,0.2,0.1016949152542373,0.04166666666666667
1.6,0.4,0.1016949152542373,0.125
1.5,0.2,0.0847457627118644,0.04166666666666667
1.4,0.2,0.06779661016949151,0.04166666666666667
1.6,0.2,0.1016949152542373,0.04166666666666667
1.6,0.2,0.1016949152542373,0.04166666666666667
1.5,0.4,0.0847457627118644,0.125
1.5,0.1,0.0847457627118644,0.0
1.4,0.2,0.06779661016949151,0.04166666666666667
1.5,0.2,0.0847457627118644,0.04166666666666667
1.2,0.2,0.033898305084745756,0.04166666666666667
1.3,0.2,0.05084745762711865,0.04166666666666667
1.4,0.1,0.06779661016949151,0.0
1.3,0.2,0.05084745762711865,0.04166666666666667
1.5,0.2,0.0847457627118644,0.04166666666666667
1.3,0.3,0.05084745762711865,0.08333333333333333
1.3,0.3,0.05084745762711865,0.08333333333333333
1.3,0.2,0.05084745762711865,0.04166666666666667
1.6,0.6,0.1016949152542373,0.20833333333333331
1.9,0.4,0.15254237288135591,0.125
1.4,0.3,0.06779661016949151,0.08333333333333333
1.6,0.2,0.1016949152542373,0.04166666666666667
1.4,0.2,0.06779661016949151,0.04166666666666667
1.5,0.2,0.0847457627118644,0.04166666666666667
1.4,0.2,0.06779661016949151,0.04166666666666667
4.7,1.4,0.6271186440677966,0.5416666666666667
4.5,1.5,0.5932203389830508,0.5833333333333334
4.9,1.5,0.6610169491525424,0.5833333333333334
4.0,1.3,0.5084745762711864,0.5000000000000001
4.6,1.5,0.6101694915254237,0.5833333333333334
4.5,1.3,0.5932203389830508,0.5000000000000001
4.7,1.6,0.6271186440677966,0.6250000000000001
3.3,1.0,0.38983050847457623,0.375
4.6,1.3,0.6101694915254237,0.5000000000000001
3.9,1.4,0.49152542372881347,0.5416666666666667
3.5,1.0,0.423728813559322,0.375
4.2,1.5,0.5423728813559322,0.5833333333333334
4.0,1.0,0.5084745762711864,0.375
4.7,1.4,0.6271186440677966,0.5416666666666667
3.6,1.3,0.44067796610169496,0.5000000000000001
4.4,1.4,0.576271186440678,0.5416666666666667
4.5,1.5,0.5932203389830508,0.5833333333333334
4.1,1.0,0.5254237288135593,0.375
4.5,1.5,0.5932203389830508,0.5833333333333334
3.9,1.1,0.49152542372881347,0.4166666666666667
4.8,1.8,0.6440677966101694,0.7083333333333334
4.0,1.3,0.5084745762711864,0.5000000000000001
